Pro Spring 5: An In-Depth Guide to the Spring Framework and Its Tools;Iuliana Cosmina;2020
Effective Java;Joshua Bloch;2012
Spring Microservices in Action;John Carnell;2018
Spring 5 Design Patterns: Master efficient application development with patterns such as proxy, singleton, the template method, and more;Dinesh Rajput;2015
Getting started with Spring Framework: covers Spring 5;J Sharma;2016
Learning Spring Boot 2.0 - Second Edition: Simplify the development of lightning fast applications based on microservices and reactive programming;Greg L. Turnquist;2020
Spring Microservices;Rajesh RV;2018
Modern Java in Action: Lambdas, streams, functional and reactive programming;Raoul-Gabriel Urma , Mario Fusco, et al.;2019
Java Persistence with Hibernate;Christian Bauer , Gavin King , et al.;2017
Pro Spring MVC with WebFlux: Web Development in Spring Framework 5 and Spring Boot 2;Marten Deinum and Andrew Lombardi;2015
Reactive Programming With Java 9: Build Asynchronous applications with Rx.Java 2.0, Flow API and Spring WebFlux;Tejaswini Mandar Jog;2020
Hands-On Reactive Programming in Spring 5: Build cloud-ready, reactive systems with Spring 5 and Project Reactor;Oleh Dokuka and Igor Lozynsky;2019
